StarID	HIP	HD	HR	Gliese	BayerFlamsteed	ProperName	RA	Dec	Distance	PMRA	PMDec	RV	Mag	AbsMag	Spectrum	ColorIndex	X	Y	Z	VX	VY	VZ
80580	80824			Gl 628			16,50503188	-12,65971367	4,2642104814	-93,61	-1184,9	-13	10,1	11,9508068334	M4	1,604	-1,5871	-3,84593	-0,93454	0,000005207	0,000017691	-0,000020984
118237	0			GJ 1061			3,5990307396	-44,5063433509	4,2918454936	727,334	-399,855	-20	13,03	14,8667796051	M4.5	1,9	1,79973	2,4758	-3,00853	-0,000024246	-0,000007618	0,000008405
118831	0			Gl 473  A			12,5564396662	9,0174765254	4,3066322136	-1794,924	233,12	-553,7	13,04	14,869311077	dM5.5eJ	1,83	-4,20835	-0,61742	0,675	0,000548675	0,000118373	-0,000083949
118832	0			Gl 473  B			12,5564396662	9,0174765254	4,3066322136	-1794,924	233,12		13,3	15,129311077	M7		-4,20835	-0,61742	0,675	-0,000004684	0,000037187	0,000004806
442	439	225213		Gl   1			0,08897037	-37,3516811	4,3605284961	5634,07	-2337,94	22,9	8,56	10,3623043553	M2V	1,462	3,46535	0,08073	-2,64555	-0,000014137	0,000118799	-0,000053495
15650	15689						3,36821458	-13,27811998	4,3965706749	-112,94	-299,04		12,16	13,9444297058			2,72046	3,30291	-1,00979	0,000000927	-0,00000266	-0,000006203
3820	3829			Gl  35		Van Maanen's Star	0,81921585	5,39519773	4,4062568848	1233,05	-2710,56	54	12,37	14,1496509354	DG	0,554	4,28623	0,93362	0,41429	0,000053436	0,000038595	-0,000052449
118584	0			NN 3522			8,9819372125	8,4797540346	4,4642857143	322,609	-313,724		10,89	12,6412400917	k	1,67	-3,10741	3,13694	0,6583	-0,000005664	-0,000004202	-0,000006715
118101	0			Gl  83.1			2,0025318573	13,0776036068	4,4682752458	1113,711	-1768,543	-31	12,28	14,029300411	dM8  e	1,8	3,76783	2,17869	1,01103	-0,000031306	0,000009764	-0,000044488
118705	0			NN 3618			10,7427288822	-61,2160103476	4,4883303411	-340,236	1614,539		13,92	15,6595759325	m	1,82	-2,04515	0,69857	-3,93375	-0,000026743	0,000016957	0,000016915
72284	72509			Gl 563.2A			14,82574589	-26,11117761	4,5085662759	-1421,6	-203,6	22	12,07	13,7998077091	M	1,524	-2,99024	-2,72914	-1,98428	-0,000034421	0,000010649	-0,000013898
118708	0			NN 3622			10,8029145386	-11,3155339583	4,5248868778	601,062	-1525,884	-7	15,6	17,3219613684	M6.5	2,1	-4,22081	1,36786	-0,88783	0,00000886	-0,000016731	-0,000031415
85900	86162			Gl 687			17,6073351	68,34222717	4,527960154	-320,47	-1269,55	-23,2	9,15	10,870487018	M3.5Vvar	1,505	-0,17148	-1,66227	4,2083	-0,000008756	-0,00001633	-0,000032336
85265	85523			Gl 674			17,47762691	-46,89305173	4,5365875788	573,32	-879,84	-10,2	9,38	11,0963535033	K5	1,553	-0,42264	-3,07118	-3,31206	0,000015388	0,000019337	-0,000005606
113751	114110						23,11080214	-14,87239655	4,6185109921	112,27	83,24		12,24	13,9174900921			4,34338	-1,02977	-1,18542	0,000001045	0,000002335	0,000001801
57195	57367			Gl 440			11,76090652	-64,84067419	4,6210720887	2665,17	-346,83		11,5	13,1762862822	DC:	0,196	-1,96074	0,12289	-4,18266	0,000003283	-0,000060027	-0,000003303
117961	0			GJ 1002			0,1129116061	-7,5133387752	4,6992481203	-816,712	-1869,379	-42	13,75	15,3898581181	M5-5.5	1,98	4,65686	0,13769	-0,61445	-0,000047583	-0,00002002	-0,000036603
112661	113020			Gl 876			22,88782108	-14,26205842	4,7016784992	960,33	-675,64	-1,5	10,16	11,7987353563	M5	1,597	4,36497	-1,30811	-1,15829	0,000001225	0,000022482	-0,000014546
119313	0			GJ 1245 A			19,897815756	44,4226417065	4,7169811321	438,306	-583,769		13,41	15,0416793046	M5.5 V e	1,9	1,60578	-2,96152	3,30163	0,000013264	-0,000003436	-0,000009533
119314	0			GJ 1245 B			19,8980941455	44,422659569	4,7169811321	438,306	-583,769		14,01	15,6416793046	m	1,98	1,60599	-2,9614	3,30163	0,000013264	-0,000003435	-0,000009533
118728	0			Gl 412  B			11,0976110252	43,5085137124	4,8323185464	-4432,645	934,104		14,4	15,9792222238	M6  e	2,09	-3,40739	0,82029	3,32686	0,00003895	0,000097427	0,00001587
54052	54211			Gl 412  A			11,09225721	43,52448449	4,8323185464	-4410,79	943,32	68,8	8,82	10,3992222238	M2Vvar	1,491	-3,40534	0,82485	3,32784	-0,00001047	0,00010885	0,000064479
49767	49908	88230		Gl 380		Groombridge 1618	10,18982305	49,45546425	4,8728194133	-1361,55	-505	-25,4	6,6	8,1610984164	K8V	1,326	-2,81844	1,44553	3,70285	0,000021637	0,000025048	-0,000027494
118677	0			Gl 388			10,3273038304	19,8709875815	4,9043648847	-497,26	-52,264	12,3	9,4	10,9470861289	M4.5Ve	1,54	-4,17713	1,95586	1,66701	-0,000006083	0,000015902	0,000003107
82474	82725						16,90892984	-62,40374141	4,9258657209	254,79	173,56		11,72	13,257587156			-0,64296	-2,18939	-4,36546	0,000004802	-0,000005238	0,000001919
